"ADC","DataFlash","USB","ETH/SATA","I/O","UART","SPI","url","Encrypt","head","Other Features","CAP","Timer","Part NO.","VDD","Freq","row_no","Package","Flash","RAM","SERDES/HSPI/DVP"
"1*12b","-","- / (480Mbps) H/D","-/-","17","2","1","/products/CH32V307.html","-","Part NO.","TRNG","10/10","10*16b","CH32V305FBP6","2.5/3.3","144MHz","8e9fda23b9c648bfb1e0c83a3be87cae","TSSOP20","128K","32K","-/-/-/-"
"6*12b","-","- / (480Mbps) H/D","-/-","24","5","3","http://www.wch.cn/products/CH32V307.html","-","Part NO.","OPA/TRNG","10/10","10*16b","CH32V305GBU6","2.5/3.3","144MHz","2f536a4efdd840b090e23936f4e6c94e","QFN28","128K","32K","-/-/-/1"
"16*12b","-","- / (480Mbps) H/D","-/-","51","5","3","/products/CH32V307.html","-","Part NO.","OPA /TRNG","32/32","10*16b","CH32V305RBT6","2.5/3.3","144MHz","5b1a728fe2104420a5691b2d5848c47d","LQFP64M","128K","32K","-/-/-/1"
"16*12b","-","- / (480Mbps) H/D","1000Mb/-","51","8","3","http://www.wch.cn/products/CH32V307.html","-","Part NO.","OPA /TRNG","32/32","10*16b","CH32V307RCT6","2.5/3.3","144MHz","d9bbc39544a84f9db06c83172bfbf0be","LQFP64M","256K","64K","-/-/-/1"
"16*12b","-","- / (480Mbps) H/D","1000Mb/-","54","8","3","/products/CH32V307.html","-","Part NO.","OPA/TRNG","32/32","10*16b","CH32V307WCU6","2.5/3.3","144MHz","dd45356500524f04b30c47986e2bbc23","QFN68","256K","64K","-/-/-/1"
"16*12b","-","- / (480Mbps) H/D","1000Mb/-","80","8","3","/products/CH32V307.html","-","Part NO.","OPA/FSMC <br>DVP/TRNG","32/32","10*16b","CH32V307VCT6","2.5/3.3","144MHz","034731809fca408fbc1033742f1c58b3","LQFP100","256K","64K","-/-/96MHz/1"
"16*12b","-","- / (480Mbps) H/D","-/-","51","5","3","/products/CH32F207.html","-","Part NO.","OPA/TRNG","32/32","10*16b","CH32F205RBT6","2.5/3.3","144MHz","cb271e377233433fb365da3b957e2de2","LQFP64M","128K","32K","-/-/-/1"
"16*12b","-","- / (480Mbps) H/D","1000Mb/-","80","8","3","/products/CH32F207.html","-","Part NO.","OPA/FSMC <br>DVP/TRNG","32/32","10*16b","CH32F207VCT6","2.5/3.3","144MHz","27d71d6e21634bbfaea9641c5a00770c","LQFP100","256K","64K","-/-/96MHz/1"
"1*10b","28K","-/-","100Mb/-","27","2","2","http://www.wch.cn/products/CH561.html","-","Part NO.","-","4/4","4*28b","CH561","1.8/3.3","130MHz","eaa786e511254464bf0a26276793980d","LQFP64M","64K","32K","-/-/-/-"
"3*10b","28K","- / (480Mbps) H/D","100Mb/-","74","2","2","http://www.wch.cn/products/CH563.html","-","Part NO.","PARA","4/4","4*28b","CH563","1.8/3.3","130MHz","9c693a1af80a479abb4cdcd44e27b1d3","LQFP128/LQFP64M","224K","32K/64K","-/-/-/-"
"-","32K","- / (480Mbps) H/D","-/-","30","4","2","http://www.wch.cn/products/CH567.html","AES/SM4","Part NO.","LEDC","3/7","3*26b","CH567","3.3","120MHz","6d76abe4e3924a2ea63f00fa0c9726d3","LQFP48","192K","32K","-/-/-/4*UHS"
"-","32K","- / (480Mbps) H/D","-/3Gb","26","4","2","http://www.wch.cn/products/CH568.html","AES/SM4","Part NO.","LEDC","3/7","3*26b","CH568","3.3","120MHz","04f63cacb6a54d3d971e91f056d0b0ad","LQFP48","192K","32K","-/-/-/4*UHS"
"-","32K","(5Gbps) H/D/ (480Mbps) H/D","1000Mb/-","49","4","2","http://www.wch.cn/products/CH569.html","AES/SM4","Part NO.","BUS8","3/4","3*26b","CH569","3.3","120MHz","87fc163029794917847dc18dd995acc7","QFN68/QFN40","448K","48K/80K","1.25Gb/3.8Gb/96MHz/1"
"15*10b","-","-","-/-","25","1","-","/products/CH641.html","-","Part NO.","QII/ISP<br>BC/USB PD","5/5","2*16b","CH641","5-12","48MHz","ca25e07005c0447bb56edcbcb9e5952d","QFN28/QSOP24<br>QFN20/QFN16","16KB","2KB","-/-/-/-"
"14*12b","-","- / (12Mbps) H/D","-/-","60","4","1","/products/CH643.html","-","Part NO.","LEDPWM<br>OPA/CMP<br>PIOC/USB PD","10/10","3*16b","CH643","3.3/5.0","48MHz","7100940effde4a2a8cb5ba22aaa8c260","QSOP28/LQFP48<br>LQFP64/QFN80","62K","20K","-/-/-/-"
"-","-","-/(480Mbps)H/D","100Mb/-","40","2","2","/products/CH645.html","-","Part NO.","USB PD","8/8","2*16b","CH645","3.3","125MHz","897f4e281c8c4932b217cb914cfe0371","QFN68/QFN32","224K","80K","-/-/-/1"
